,Stn,Datum,Tijd,P,qP,T,qT
515,81,19270621,19.45,756.3,0,28,0
516,81,19270622,7.45,757.0,0,27,0
517,81,19270622,13.45,756.7,0,29,0
518,81,19270622,19.45,756.5,0,27,0
519,81,19270623,7.45,756.5,0,27,0
520,81,19270623,13.45,756.1,0,30,0
521,81,19270623,19.45,755.8,0,28,0
522,81,19270624,7.45,756.0,0,27,0
523,81,19270624,13.45,755.1,0,30,0
524,81,19270624,19.45,756.2,0,29,0
525,81,19270625,7.45,756.5,0,27,0
526,81,19270625,13.45,755.5,0,31,0
527,81,19270625,19.45,755.2,0,29,0
528,81,19270626,7.45,755.5,0,27,0
529,81,19270626,13.45,754.7,0,33,0
530,81,19270626,19.45,755.1,0,30,0
531,81,19270627,7.45,756.5,0,27,0
532,81,19270627,13.45,756.0,0,31,0
533,81,19270627,19.45,756.6,0,30,0
534,81,19270628,7.45,757.5,0,27,0
535,81,19270628,13.45,756.1,0,30,0
536,81,19270628,19.45,756.7,0,29,0
537,81,19270629,7.45,757.0,0,27,0
538,81,19270629,13.45,755.6,0,30,0
539,81,19270629,19.45,756.2,0,29,0
540,81,19270630,7.45,756.5,0,27,0
541,81,19270630,13.45,756.0,0,31,0
542,81,19270630,19.45,756.1,0,30,0
543,81,19270701,7.45,756.5,0,27,0
544,81,19270701,13.45,756.1,0,30,0
545,81,19270701,19.45,757.2,0,29,0
546,81,19270702,7.45,757.8,0,28,0
547,81,19270702,13.45,758.0,0,31,0
548,81,19270702,19.45,757.6,0,30,0
549,81,19270703,7.45,757.8,0,28,0
550,81,19270703,13.45,757.0,0,31,0
551,81,19270703,19.45,757.1,0,30,0
552,81,19270704,7.45,756.5,0,27,0
553,81,19270704,13.45,756.2,0,29,0
554,81,19270704,19.45,756.3,0,28,0
555,81,19270705,7.45,756.5,0,27,0
556,81,19270705,13.45,756.0,0,31,0
557,81,19270705,19.45,756.1,0,30,0
558,81,19270706,7.45,756.5,0,27,0
559,81,19270706,13.45,756.0,0,31,0
560,81,19270706,19.45,756.1,0,30,0
561,81,19270707,7.45,757.3,0,28,0
562,81,19270707,13.45,757.5,0,31,0
563,81,19270707,19.45,757.6,0,30,0
564,81,19270708,7.45,758.3,0,28,0
565,81,19270708,13.45,757.5,0,31,0
566,81,19270708,19.45,757.6,0,30,0
567,81,19270709,7.45,758.0,0,27,0
568,81,19270709,13.45,757.1,0,30,0
569,81,19270709,19.45,757.2,0,29,0
570,81,19270710,7.45,756.5,0,27,0
571,81,19270710,13.45,756.3,0,28,0
572,81,19270710,19.45,756.3,0,28,0
573,81,19270711,7.45,756.5,0,27,0
574,81,19270711,13.45,757.2,0,29,0
575,81,19270711,19.45,757.3,0,28,0
576,81,19270712,7.45,757.5,0,27,0
577,81,19270712,13.45,757.0,0,31,0
578,81,19270712,19.45,757.1,0,30,0
579,81,19270713,7.45,757.5,0,27,0
580,81,19270713,13.45,755.9,0,32,0
581,81,19270713,19.45,756.0,0,31,0
582,81,19270714,7.45,755.5,0,27,0
583,81,19270714,13.45,755.1,0,30,0
584,81,19270714,19.45,755.7,0,29,0
585,81,19270715,7.45,756.5,0,27,0
586,81,19270715,13.45,755.7,0,29,0
587,81,19270715,19.45,757.3,0,28,0
588,81,19270716,7.45,757.8,0,28,0
589,81,19270716,13.45,757.5,0,31,0
590,81,19270716,19.45,757.1,0,30,0
591,81,19270717,7.45,756.8,0,28,0
592,81,19270717,13.45,756.1,0,30,0
593,81,19270717,19.45,756.2,0,29,0
594,81,19270718,7.45,755.5,0,27,0
595,81,19270718,13.45,754.6,0,30,0
596,81,19270718,19.45,754.2,0,29,0
597,81,19270719,7.45,754.3,0,28,0
598,81,19270719,13.45,754.9,0,32,0
599,81,19270719,19.45,754.6,0,30,0
600,81,19270720,7.45,754.8,0,28,0
601,81,19270720,13.45,754.3,0,28,0
602,81,19270720,19.45,754.8,0,28,0
603,81,19270721,7.45,755.5,0,27,0
604,81,19270721,13.45,755.2,0,29,0
605,81,19270721,19.45,755.3,0,28,0
606,81,19270722,7.45,755.5,0,27,0
607,81,19270722,13.45,755.1,0,30,0
