,Stn,Datum,Tijd,P,qP,Tn,qTn,Tx,qTx
528,81,19200625,8.0,749.3,0,—,7,—,7
529,81,19200625,14.0,749,0,—,7,—,7
530,81,19200625,24.0,—,7,26,0,28.5,0
531,81,19200626,8.0,749.2,0,—,7,—,7
532,81,19200626,14.0,749,0,—,7,—,7
533,81,19200626,24.0,—,7,26,0,28,0
534,81,19200627,8.0,749,0,—,7,—,7
535,81,19200627,14.0,748.7,0,—,7,—,7
536,81,19200627,24.0,—,7,25,0,28,0
537,81,19200628,8.0,748.6,0,—,7,—,7
538,81,19200628,14.0,748.1,0,—,7,—,7
539,81,19200628,24.0,—,7,26,0,28,0
540,81,19200629,8.0,749,0,—,7,—,7
541,81,19200629,14.0,748.5,0,—,7,—,7
542,81,19200629,24.0,—,7,26,0,28.8,0
543,81,19200630,8.0,750,0,—,7,—,7
544,81,19200630,14.0,749.6,0,—,7,—,7
545,81,19200630,24.0,—,7,26,0,29,0
546,81,19200701,8.0,751,0,—,7,—,7
547,81,19200701,14.0,750.6,0,—,7,—,7
548,81,19200701,24.0,—,7,26,0,29,0
549,81,19200702,8.0,750.5,0,—,7,—,7
550,81,19200702,14.0,750,0,—,7,—,7
551,81,19200702,24.0,—,7,26,0,29,0
