1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
20 FFFF FCSS FCCC CCRR CCRR FFFF CCCF FFFF CFFF FFFC CRRC CFFC
21 FFFF SCCF CFFF RCFF CFCC FFFF FFFF FFFF CFFF FCRF CFFF SSSS
22 FFFF CSSC CCSS FCFF FFFF FCFF FFFF FFFF CCCR FFFF FFFF FFFF
23 CFCC CCCC SSCC FCFF FFFF RFFF FFFF FFFF RFFF FFFF CFFF FFFF
24 CCSS RRRC SSRR FFCC FFFF FFFF FFFF CFFC FFFF FFFF CCFF FFFC
25 SCCC FSFF FFFF CSSC FFFF CCRR FFCR CCCR FFFF FFFF FFFF SSSS
26 CCSS FFFF CRRR FFFF CRCC RRCR FFFF CRFF FFFF RCFF CCFF SSCF
27 RRSC SCFF CRCF FFCC CRRR CFFF FFCR FCRR CRRR FFFC CSSS FFFF
28 FFFF CSFF FFFF SRRF CCFF CCRC CFFF RCFF RRCC CFFF SSCF FFFF
29 FFFF **** FFFF FRCF FCRC CFCF FFFF FFRC CFCC CCCC CCFF SCCF
30 CFFC **** SCFF FFFF CFCF FCFF FFCF FFFF RRCR CCRC FFFF FFFF
31 FFFF **** FFFF **** RCFF **** FRRC FFFF **** CFFF **** SCCC
1791
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 SSSC FFFF FFFF FFFF FCRR CCRC FFFF CRCF CCRC FFRF FFFF CCRC
 2 FFFF FFFF FFCS FRRR FFFF CRCF FFFF FFFF RFFF FFRC FFFF CCCF
 3 FFFC FFFF SCFF FFFF CFFF CCFF FFFF FFFF FFFC RCFF CSSS FFFF
 4 CCCC SCCF FFFF FCCF RRRC RRCC FFFF FFFF FFCC FFFF SCFF FFCC
 5 CFFF CCCC FFFF FFFF CFCF FFFF FFCF CCRR CCRR CCFF FFFF FCCR
 6 RFFC FFFF FFRC FFFF FRCF FFFF FCFF RCCC RRCR FFFF FFFF CCCC
 7 CCCC CCRR FFCR SRHC FCCF FFFF FCFC CRFF CCCC FFFF FFFF CFCC
 8 FFFF RHSS FFFF HCFF FCCF FFFF FFFR FFFF CCCC FCFF FFFF FFFC
 9 CSSS SSSS FFCC CFCC RCFF FFFC FCCF CRRC CCCC FCCR CCRR FFFF
10 FFFF HSSF RCFC FFFF FFFF RCFF FFFF RCFF CCRR FFFF CCCC FFFF
11 FFFF FFFF CRCC FCFF FFFF FFFF FFFF CCRR CCRC FFFF CFFF FFCC
12 FFFF FFFF CCFF CFCF FFFF FFFF FFRC CCCF RCFF CRFF FFFF RRRR
13 CCSS FFCR FFFF CFCC CRHR FFFF FFCF FFFF FFFF FFFF CCCC CCFF
14 SCCC FFRF FFFF CFFF RRCF FCFF FRCC FFFC FFRC FFFF FFFC FFFF
15 CCCC FFFC RCRC FFFF CCFF FFCF CFCF FFFF CRRR RCFF FFCR FFFF
16 CFCC RRCF CCCR FFFF CCFF FFFF RCRR FCRR FFFF FFFF FFFF FSCF
17 SSCF FFFC CFFC FFFF FFFF FRCF CCCR FFFF FFFF FFFF FFFC FFFF
18 FFFF FFFF FFCC FFFF FFFF FFFF RCCF FFCC FFFF CFFF CCCF RRRR
19 FFFF SSSH RCSC FFFF FFFF RRRR RCFF RRCC FFFF CFFF FFFF RCCC
20 FCFC CCCC FSSF FFFF RCCR FFFF FCRR FFFF FFFF CCCC FFFF CCCC
21 FFFF FFFF FSCF FFFF FFFF FFFF RCCR FFFF FFFF RCRC CCCR CCCS
22 FFFF FFFF FFFF FFRF RCFC FFFF FCRF FFFF CCCC RRRS RCCF RSSF
23 CCCC SFFF FFFC FFCR FFFF FFFR FFFF CFFF CCCC SRCF FFFF FFFF
24 CCCC FFFF RCCC CCRC FFFC FFFF FFRF FFFF CCRR FFFF CCCC FFFF
25 CCCF FFCS RRCF FFFF RFRC FRFF FFFF CRRR RRRR CFFF RCCF FSCC
26 CCCC CFFF FFFF FFFF FFFF FFCR FFFF CRCF FFFC FFFF FFFF FFFF
27 CFCF FFCC FFFF RCFF FFFF FRRF FFFF FFFF CFRF FFFF FFFF FFFF
28 CCFF RRCC CCCC FFFF FFFF FCFF FFFF FFFF FRRF FCCC FCCR FFFF
29 FFFF **** CCRR CFFF FRFF FFFF FFFF FFFF FFCC FFFF RFFF FFFF
30 SSCF **** CCFF FFRF FFFC FFRF FFFC CFCC FFFF CRCC FCCC FFFF
31 CFFF **** FFFF **** RCCC **** FFFF CCCC **** CRCF **** FFFF
1792
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FCSC FFFF FFFF FFFF FFFF CFFF CFFF CFCC FFFF RRCC RRCC FFFC
 2 RCCR FFCF FFCR FFFF FFFC RCCC FFFF CFFF FFFF CCCC FFCR SCFF
 3 RFFF FFFF FFCR FFFF CRRR FFFF FFFF FFFF FCFC FFFF CFFF FFFC
 4 FFFF CFCC FCFF FFFF RCCC FFRR CFFF FFFF FFFF CCCC FFFF CCCR
 5 FFCS FFFF SRCF CRCF CFCR CFRC CFFF FFFF FFFF FFFF FFFF FFFF
 6 FFFF FFFF FFFF CFFF CCRF CRCC FFFF CRRR FFFF FFFF FFFF FFCS
 7 FFFF FFCC FFFF RFFF FRFF RRRC FFFF FFFF FFFC FFFF FFCC FFFF
 8 FFFF SCFF SSSC FFFF FFFF CCFF FFFF FFFF FFCC FCFC CCCC FFFC
 9 FFFF SFFF SCCC RFCC FFFF FFFF RCFR FFFF CCRR FFFF CRRC CFCS
10 FFFF FFFF CRRR CFFF CFFF FFFF FRCF FFFF CCCF FFFF CFFF FFFF
11 FFFF FFFC RFFF CRRR FFFF FFFF CFFF FFFC FFFF FFFF FFFF FFFF
12 FFCC SCCC FFFF CFFF CCRC FFCC FFFF RFCC FFCF CFRR RRCF FFFF
13 SRCC FFFF FFFC CCCR CCRF CFCF CFCC RFCC FFFF RCFF CFFF CFFF
14 FFFF CCFF FFCC RCCF FFFF FFFF FFFC CCRR FFCC FFFF FFFF CSSS
15 FFFF CFCC FFFC FFFF FFFF FFFF FFFC FFFF CFFC CRRF FFFF CFFF
16 FFFF CCCF SCSC FFFF RRRR FFFF RCCC CFFF FRRR FFFF CRRF FFFF
17 FFFF CCCF FFFF RCCR CCCC FFFF RCRC FFFF RRRR FFFF FFFF FFFF
18 FFCS FFFF FFCR CCFF CCFF FFFF FFFF FFFF CFFF RRCF FCCC FFSS
19 SSSF FFFC CFFS FFFF FFFF FFFF FFFF FFFF FFCC FFFF CFRR CCCF
20 FFFF FFFC CFFF FCFC CFRR RFRF FFFF FFFF CCCF CFCR RCFF CCCC
21 FFFF FFCF CFFF FCCC FFFF FCFF RCFF FFFF FFFF RCFF FFFF FFFF
22 CFCF FFCF FFFF CFFF FFFF FFFF FFFC FFFF FFFF FFFF FFFF CSSC
23 FFFF FCFC FCRR FFFF FFFF CCRC FCFC FFFF FFFF FFFF CSSS FFFC
24 FFFF FFFF RRRC FFFF FFFF CFFF RRRR FFCR FCFC CFFF SSSS HRHR
25 FFFF FSFF FFFF FFCC FFFF RFFF FFFF RFRF FFFF FFFF FFFF CFFF
26 FFFF FFCR CFFF RRRR FFFF FFFF FFFF FFFF FFRR FFFF FFFF FFFF
27 FFFF RCFF CCFF CFFF RRCC FFFF FFFF FFFF RRRR FFFF FFFF FFFF
28 CFCS FFFF CCCC FCCF FFFF FFFF FFCC RFFF FFFF CFFF FFCC FFFF
29 CFFF FFCC CFFF FFFF FFFF CFFF CFCF FFFF FFFF CCCC CFFF FFFF
30 FFCC **** FFFF FFFF FFFF FFFF CRCF FFRF FCFC FFFF FFFF CCCC
31 SRCF **** FFFF **** FFFF **** FFFF FFFF **** FFCC **** CCFF
1793
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF FFFC FFCC FFFF FFFF CCRR FFRR FFFF FFFC CCRR CCCC FFCF
 2 SCCF CCRR FFFC FCCR FFFF RRCC CCCF FFFF FFFF FFFF FFFC FFCF
 3 CFCC FFFF RFFF FFFF CCRR RRCF FFFF FFFF FFFF FFFC CCCC FFCC
 4 SRCS FCSC CCCC FFFF CFRC FFCC CFFF RCFF FFFF RCCR CCRC SSCF
 5 SCFF CCFF RCRC CCCC RFFF RCFC FFFF FFRR FFCR FFFF RCCC FFFF
 6 FFFC CFRR FFFF FCRR FFFF CCRR FRCF RCRF FFCC FFFF RRCR CRRC
 7 FFFF CCFF CFCC RCFF FFFF FFFF CCFF FFFF FFFF FFFF FFCC RRRR
 8 FFFC CFCR RRCR FFFF FFFF FFFF CFFC FFFF FFCC FFFF FFFF RCFF
 9 RRRR CFFF SFFF FFFF FFCC CRFF CCRR CRRC CRRR FFFF FCFC CCFC
10 RCFF FFFF FFFF FFFF FFFF FFFF FFFF CFCF CCRR FFFF CCFF SCFF
11 CFFF FFFC RRCC FFFF FCCF FFFF RCFR CCCF CRRR FFFF RFFF FFFF
12 FFFF SSSS FCCF FRRF CCFF FFFC FFFF FFFF RCCC RRCC FFFC FFFF
13 FFFF CSSC SCFF FFFF FFFF FFCF FFFF FFFF CCCC FFFF CSRC FFFF
14 FFFS CSCC FFFF CCRC FFFF FFFF FFFF FFFC FFFF FFFF CCFF SCFF
15 CCCC FFFF FFFF CFFF CFFF FFFF FFCC CCCC CFCF FFCR FFFF FFFF
16 CCRR FCCC CFFF FFFF FFFF FFFF RCRR FFFF CFCF CCCC FFFF CCCR
17 SRFF RRRR FFFC FFFF CCCC FFRC FFFF FFFF CCFF FFFF RFRR FFFF
18 FFFF FFFF RCRR CRRR FFFF CFFF FFFC CCCR FFFF FFCC RCCF CCRR
19 FFFF FFCR RCFF CFCC CCRC RCFF RCCF FFFF FFFF CCCR FFFF FFFF
20 FCCC RCFF FFFF CCCC FFFF CFFF FFFF FFFF FFFF FFFF FFFF FCCS
21 RCCC FSCF CSSS CFCC FFFF CRRR FFFF FFFF CCCC FFFF CCCC FFFF
22 SSCC FFFF CFFF CFFF CCRF FFFF FFFF FFFF CFFF RFFC CFFF CCCS
23 FFFF CCCC FFFF FFFF FFFF FFFF FFFF FFFF FFFF FFFF FCCC CCCC
24 FFFF RRRF CFFF FFFF FFFF FCFF FRCF RRCC CCCC FFFF RFFC SFFF
25 FFFC FFCC FFFF FFFF FFFF CCCR FFFF CCCC CCCC CCCC FCCC SRCS
26 FFFF RRCC CCRR FFCC CCCC RCCC FFFF FFFF CRRR CCCC FFFF FFFF
27 FFFC CCRC FFFF CCCC FFCC FFFF FCFC FFFF FFFF CCCC FFFF FFFF
28 SCCF FFFF FFFF FFFF FFFF CFCF RCRC CFFF FFFF CCCC CCCC CCCC
29 FFFF **** FFCC FFFF CCCC FFFF CCCC CFFC FFFF SSSC RCCR CCCC
30 FCSS **** CFCF FFFF CCCC FFFF CCCF RCRC FFCF FFFF CCCF FFFF
31 SFFF **** FFFF **** CCRC **** RCRR RCFF **** CCCC **** RRCF
1794
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF FFFF CCCC SFFF FFFC CCFF CCRR CCCC CRCC FCCC RCRC RCCF
 2 FCFF FFFF SCRC FFFF CCFF CFCC RRCC FCRC CCRR CCCF FFFF FFFF
 3 FFCC FFFC RRRS CRRR CCFF RCCF FFFF CCCC CCCF FFFF CCCC RFFF
 4 RCFF CCCC FFFF CCFC CFCR FFCF CCCC CCCF CRRF FFFF RCFF FFFF
 5 FFFF FFFF FCCF FFFF CCCC CRCC CCFC FFRR FFFF FFFF FFFF FFFF
 6 FFFF FFCC CSRR FFCF CCCC RRCR FFFF FFFF FFCC FFFF FFFF FFFF
 7 FFFF CSRS RCCC FFCF RCFF RCCC FFFF FFFF CRRF FFFF FFFR FFFC
 8 FFFF FFFF FFCC FFFF FFFF CCCC FFFF FFFF FFFF CRCC CRRC RFFF
 9 FFCC FFCC FFFF CCCF FFFF CRRR FFFF FCRC FFFF RRRF FCFF FFFF
10 RRCC CSCR FFFF FFFF CFFF RRRR FFFF RCCR FFFF FFFF FFFC FFFF
11 CCRR CCCF FFFF FFFF CCFF RCRF FFFF RRRF FFFF FFFF RCCF FFCF
12 FFFF FFFC FFCC CFFF RCCC FFFF RRCC FFFF FFFF FFFF FCCF FFFF
13 CCRC FFFF FFFF FFFF RCCF FFFF FFCC FFFF FFFF FCCF FFFF FFFF
14 FSFF FFSC CCCC FFFF FFCC FFFC RCFC FFFF FFFF FFFF CCSS FFFF
