SEF	1.0
ID	Oranjestad_Aruba
Name	Oranjestad Aruba
Source	KNMI_Caribisch
Lat	12.52
Lon	-70.04
Alt	5
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=open
Year	Month	Day	Hour	Minute	Period	Precipitation	Meta
1938	11	30	00	00	day		qc=7
1938	11	30	11	00	day		qc=7
1938	11	30	16	00	day		qc=7
1938	11	30	21	00	day		qc=7
1938	12	01	00	00	day		qc=7
1938	12	01	11	00	day		qc=7
1938	12	01	16	00	day		qc=7
1938	12	01	21	00	day		qc=7
1938	12	02	00	00	day		qc=7
1938	12	02	11	00	day		qc=7
1938	12	02	16	00	day		qc=7
1938	12	02	21	00	day		qc=7
1938	12	03	00	00	day		qc=7
1938	12	03	11	00	day		qc=7
1938	12	03	16	00	day		qc=7
1938	12	03	21	00	day		qc=7
1938	12	04	00	00	day		qc=7
1938	12	04	11	00	day		qc=7
1938	12	04	16	00	day		qc=7
1938	12	04	21	00	day		qc=7
1938	12	05	00	00	day		qc=7
1938	12	05	11	00	day		qc=7
1938	12	05	16	00	day		qc=7
1938	12	05	21	00	day		qc=7
1938	12	06	00	00	day		qc=7
1938	12	06	11	00	day		qc=7
1938	12	06	16	00	day		qc=7
1938	12	06	21	00	day		qc=7
1938	12	07	00	00	day		qc=7
1938	12	07	11	00	day		qc=7
1938	12	07	16	00	day		qc=7
1938	12	07	21	00	day		qc=7
1938	12	08	00	00	day		qc=7
1938	12	08	11	00	day		qc=7
1938	12	08	16	00	day		qc=7
1938	12	08	21	00	day		qc=7
1938	12	09	00	00	day		qc=7
1938	12	09	11	00	day		qc=7
1938	12	09	16	00	day		qc=7
1938	12	09	21	00	day		qc=7
1938	12	10	00	00	day		qc=7
1938	12	10	11	00	day		qc=7
1938	12	10	16	00	day		qc=7
1938	12	10	21	00	day		qc=7
1938	12	11	00	00	day		qc=7
1938	12	11	11	00	day		qc=7
1938	12	11	16	00	day		qc=7
1938	12	11	21	00	day		qc=7
1938	12	12	00	00	day		qc=7
1938	12	12	11	00	day		qc=7
1938	12	12	16	00	day		qc=7
1938	12	12	21	00	day		qc=7
1938	12	13	00	00	day		qc=7
1938	12	13	11	00	day		qc=7
1938	12	13	16	00	day		qc=7
1938	12	13	21	00	day		qc=7
1938	12	14	00	00	day		qc=7
1938	12	14	11	00	day		qc=7
1938	12	14	16	00	day		qc=7
1938	12	14	21	00	day		qc=7
1938	12	15	00	00	day		qc=7
1938	12	15	11	00	day		qc=7
1938	12	15	16	00	day		qc=7
1938	12	15	21	00	day		qc=7
1938	12	16	00	00	day		qc=7
1938	12	16	11	00	day		qc=7
1938	12	16	16	00	day		qc=7
1938	12	16	21	00	day		qc=7
1938	12	17	00	00	day		qc=7
1938	12	17	11	00	day		qc=7
1938	12	17	16	00	day		qc=7
1938	12	17	21	00	day		qc=7
1938	12	18	00	00	day		qc=7
1938	12	18	11	00	day		qc=7
1938	12	18	16	00	day		qc=7
1938	12	18	21	00	day		qc=7
1938	12	19	00	00	day		qc=7
1938	12	19	11	00	day		qc=7
1938	12	19	16	00	day		qc=7
1938	12	19	21	00	day		qc=7
1938	12	20	00	00	day		qc=7
1938	12	20	11	00	day		qc=7
1938	12	20	16	00	day		qc=7
1938	12	20	21	00	day		qc=7
1938	12	21	00	00	day		qc=7
1938	12	21	11	00	day		qc=7
1938	12	21	16	00	day		qc=7
1938	12	21	21	00	day		qc=7
1938	12	22	00	00	day		qc=7
1938	12	22	11	00	day		qc=7
1938	12	22	16	00	day		qc=7
1938	12	22	21	00	day		qc=7
