,Stn,Datum,Tijd,F,qF
430,78989,18990118,23.0,12,0
431,78989,18990118,24.0,14,0
432,78989,18990119,1.0,11,0
433,78989,18990119,2.0,11,0
434,78989,18990119,3.0,11,0
435,78989,18990119,4.0,11,0
436,78989,18990119,5.0,11,0
437,78989,18990119,6.0,12,0
438,78989,18990119,7.0,12,0
439,78989,18990119,8.0,15,0
440,78989,18990119,9.0,15,0
441,78989,18990119,10.0,17,0
442,78989,18990119,11.0,17,0
443,78989,18990119,12.0,17,0
444,78989,18990119,13.0,16,0
445,78989,18990119,14.0,18,0
446,78989,18990119,15.0,16,0
447,78989,18990119,16.0,17,0
448,78989,18990119,17.0,15,0
449,78989,18990119,18.0,12,0
450,78989,18990119,19.0,11,0
451,78989,18990119,20.0,12,0
452,78989,18990119,21.0,10,0
453,78989,18990119,22.0,12,0
454,78989,18990119,23.0,11,0
455,78989,18990119,24.0,10,0
456,78989,18990120,1.0,10,0
457,78989,18990120,2.0,9,0
458,78989,18990120,3.0,10,0
459,78989,18990120,4.0,10,0
460,78989,18990120,5.0,11,0
461,78989,18990120,6.0,11,0
462,78989,18990120,7.0,9,0
463,78989,18990120,8.0,12,0
464,78989,18990120,9.0,13,0
465,78989,18990120,10.0,15,0
466,78989,18990120,11.0,15,0
467,78989,18990120,12.0,16,0
468,78989,18990120,13.0,16,0
469,78989,18990120,14.0,16,0
470,78989,18990120,15.0,15,0
471,78989,18990120,16.0,15,0
472,78989,18990120,17.0,15,0
473,78989,18990120,18.0,11,0
474,78989,18990120,19.0,10,0
475,78989,18990120,20.0,10,0
476,78989,18990120,21.0,9,0
477,78989,18990120,22.0,8,0
478,78989,18990120,23.0,10,0
479,78989,18990120,24.0,10,0
480,78989,18990121,1.0,11,0
481,78989,18990121,2.0,10,0
482,78989,18990121,3.0,11,0
483,78989,18990121,4.0,11,0
484,78989,18990121,5.0,10,0
485,78989,18990121,6.0,11,0
486,78989,18990121,7.0,9,0
487,78989,18990121,8.0,12,0
488,78989,18990121,9.0,15,0
489,78989,18990121,10.0,15,0
490,78989,18990121,11.0,16,0
491,78989,18990121,12.0,16,0
492,78989,18990121,13.0,15,0
493,78989,18990121,14.0,16,0
494,78989,18990121,15.0,15,0
495,78989,18990121,16.0,15,0
496,78989,18990121,17.0,14,0
497,78989,18990121,18.0,13,0
498,78989,18990121,19.0,11,0
499,78989,18990121,20.0,9,0
500,78989,18990121,21.0,9,0
501,78989,18990121,22.0,10,0
502,78989,18990121,23.0,8,0
503,78989,18990121,24.0,8,0
504,78989,18990122,1.0,9,0
505,78989,18990122,2.0,10,0
506,78989,18990122,3.0,11,0
507,78989,18990122,4.0,10,0
508,78989,18990122,5.0,10,0
509,78989,18990122,6.0,10,0
510,78989,18990122,7.0,9,0
511,78989,18990122,8.0,10,0
512,78989,18990122,9.0,15,0
513,78989,18990122,10.0,16,0
514,78989,18990122,11.0,16,0
515,78989,18990122,12.0,16,0
516,78989,18990122,13.0,15,0
517,78989,18990122,14.0,16,0
518,78989,18990122,15.0,16,0
519,78989,18990122,16.0,15,0
520,78989,18990122,17.0,14,0
521,78989,18990122,18.0,13,0
522,78989,18990122,19.0,11,0
523,78989,18990122,20.0,12,0
524,78989,18990122,21.0,11,0
525,78989,18990122,22.0,11,0
526,78989,18990122,23.0,9,0
527,78989,18990122,24.0,9,0
528,78989,18990123,1.0,8,0
529,78989,18990123,2.0,8,0
530,78989,18990123,3.0,8,0
531,78989,18990123,4.0,9,0
532,78989,18990123,5.0,8,0
533,78989,18990123,6.0,8,0
534,78989,18990123,7.0,9,0
535,78989,18990123,8.0,12,0
536,78989,18990123,9.0,15,0
537,78989,18990123,10.0,16,0
538,78989,18990123,11.0,15,0
539,78989,18990123,12.0,17,0
540,78989,18990123,13.0,18,0
541,78989,18990123,14.0,18,0
542,78989,18990123,15.0,18,0
543,78989,18990123,16.0,18,0
544,78989,18990123,17.0,16,0
545,78989,18990123,18.0,17,0
546,78989,18990123,19.0,14,0
547,78989,18990123,20.0,13,0
548,78989,18990123,21.0,13,0
549,78989,18990123,22.0,11,0
550,78989,18990123,23.0,10,0
551,78989,18990123,24.0,12,0
552,78989,18990124,1.0,12,0
553,78989,18990124,2.0,13,0
554,78989,18990124,3.0,14,0
555,78989,18990124,4.0,12,0
556,78989,18990124,5.0,13,0
557,78989,18990124,6.0,13,0
558,78989,18990124,7.0,13,0
559,78989,18990124,8.0,15,0
560,78989,18990124,9.0,16,0
561,78989,18990124,10.0,17,0
562,78989,18990124,11.0,19,0
563,78989,18990124,12.0,18,0
564,78989,18990124,13.0,18,0
565,78989,18990124,14.0,20,0
566,78989,18990124,15.0,20,0
567,78989,18990124,16.0,19,0
568,78989,18990124,17.0,19,0
569,78989,18990124,18.0,13,0
570,78989,18990124,19.0,11,0
571,78989,18990124,20.0,12,0
572,78989,18990124,21.0,14,0
573,78989,18990124,22.0,13,0
574,78989,18990124,23.0,12,0
575,78989,18990124,24.0,12,0
576,78989,18990125,1.0,11,0
577,78989,18990125,2.0,13,0
578,78989,18990125,3.0,12,0
579,78989,18990125,4.0,13,0
580,78989,18990125,5.0,10,0
581,78989,18990125,6.0,11,0
582,78989,18990125,7.0,11,0
583,78989,18990125,8.0,13,0
584,78989,18990125,9.0,14,0
585,78989,18990125,10.0,15,0
586,78989,18990125,11.0,17,0
587,78989,18990125,12.0,18,0
588,78989,18990125,13.0,20,0
589,78989,18990125,14.0,18,0
590,78989,18990125,15.0,19,0
591,78989,18990125,16.0,18,0
592,78989,18990125,17.0,16,0
593,78989,18990125,18.0,13,0
594,78989,18990125,19.0,12,0
595,78989,18990125,20.0,11,0
596,78989,18990125,21.0,11,0
597,78989,18990125,22.0,10,0
598,78989,18990125,23.0,10,0
599,78989,18990125,24.0,12,0
600,78989,18990126,1.0,10,0
601,78989,18990126,2.0,9,0
602,78989,18990126,3.0,10,0
603,78989,18990126,4.0,9,0
604,78989,18990126,5.0,8,0
605,78989,18990126,6.0,7,0
606,78989,18990126,7.0,10,0
607,78989,18990126,8.0,10,0
608,78989,18990126,9.0,13,0
609,78989,18990126,10.0,13,0
610,78989,18990126,11.0,12,0
611,78989,18990126,12.0,16,0
612,78989,18990126,13.0,15,0
613,78989,18990126,14.0,15,0
614,78989,18990126,15.0,16,0
615,78989,18990126,16.0,18,0
616,78989,18990126,17.0,19,0
617,78989,18990126,18.0,15,0
