,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
81,19360320.0,611.0,598.0,594.0,259.0,265.0,249.0,314.0,234.0,224.0,230.0,216.0,90.0,89.0,93.0,ESE,1.0,ENE,1.0,ENE,1.0,4.0,10.0,9.0,237.0,,
82,19360321.0,613.0,605.0,603.0,249.0,274.0,264.0,299.0,229.0,224.0,239.0,223.0,96.0,88.0,87.0,Calm,0.0,ENE,1.0,ENE,1.0,10.0,9.0,7.0,276.0,,
83,19360322.0,618.0,604.0,603.0,263.0,289.0,272.0,291.0,236.0,229.0,222.0,226.0,90.0,75.0,84.0,ENE,1.0,ENE,3.0,ENE,1.0,6.0,8.0,9.0,30.0,,
84,19360323.0,630.0,609.0,601.0,254.0,270.0,267.0,301.0,232.0,213.0,233.0,231.0,89.0,88.0,89.0,E,1.0,ENE,1.0,ENE,1.0,8.0,9.0,9.0,167.0,,
85,19360324.0,613.0,600.0,592.0,245.0,279.0,254.0,295.0,229.0,221.0,226.0,221.0,97.0,81.0,92.0,Calm,0.0,NE,1.0,Calm,0.0,10.0,9.0,9.0,264.0,,
86,19360325.0,607.0,595.0,594.0,255.0,278.0,259.0,284.0,239.0,230.0,216.0,206.0,95.0,78.0,83.0,ENE,1.0,E,1.0,ENE,1.0,10.0,9.0,9.0,210.0,,
87,19360326.0,610.0,598.0,587.0,246.0,300.0,263.0,296.0,221.0,212.0,229.0,231.0,92.0,73.0,91.0,E,1.0,ENE,1.0,ENE,1.0,7.0,8.0,9.0,1.0,,
88,19360327.0,614.0,605.0,604.0,260.0,267.0,254.0,321.0,233.0,237.0,235.0,229.0,95.0,90.0,95.0,E,1.0,ENE,1.0,Calm,0.0,9.0,10.0,10.0,112.0,,
89,19360328.0,621.0,602.0,600.0,234.0,294.0,240.0,320.0,229.0,207.0,237.0,210.0,97.0,78.0,95.0,Calm,0.0,ENE,3.0,Calm,0.0,10.0,9.0,10.0,509.0,,
90,19360329.0,617.0,603.0,596.0,246.0,273.0,268.0,297.0,231.0,222.0,231.0,222.0,97.0,86.0,85.0,Calm,0.0,Calm,0.0,ENE,1.0,10.0,8.0,9.0,89.0,,
91,19360330.0,619.0,604.0,603.0,254.0,277.0,267.0,297.0,234.0,223.0,237.0,225.0,93.0,86.0,86.0,Calm,0.0,ENE,1.0,ENE,1.0,8.0,8.0,4.0,8.0,,
92,19360331.0,621.0,602.0,599.0,250.0,305.0,264.0,301.0,229.0,225.0,218.0,225.0,96.0,67.0,88.0,Calm,0.0,ENE,1.0,ENE,1.0,9.0,9.0,9.0,250.0,,
93,,761.6516129032258,760.3483870967742,759.8870967741935,25.325806451612902,29.280645161290323,26.674193548387098,30.935483870967744,22.48709677419355,21.74838709677419,21.90967741935484,21.4,90.74193548387096,73.12903225806451,82.54838709677419,,0.8387096774193549,,1.5483870967741935,,1.032258064516129,6.0,7.580645161290323,6.580645161290323,299.8,,
94,19360401.0,611.0,598.0,596.0,264.0,299.0,262.0,309.0,226.0,225.0,226.0,216.0,88.0,72.0,85.0,ENE,1.0,NE,2.0,ENE,1.0,8.0,8.0,8.0,19.0,,
95,19360402.0,610.0,603.0,601.0,275.0,305.0,274.0,309.0,244.0,220.0,201.0,221.0,80.0,62.0,81.0,ENE,1.0,ENE,1.0,E,1.0,6.0,2.0,9.0,45.0,,
96,19360403.0,618.0,606.0,602.0,271.0,314.0,275.0,310.0,230.0,222.0,204.0,216.0,83.0,59.0,80.0,ENE,1.0,NE,3.0,ENE,1.0,3.0,1.0,1.0,42.0,,
97,19360404.0,617.0,608.0,589.0,259.0,249.0,254.0,317.0,236.0,226.0,214.0,225.0,91.0,92.0,93.0,E,1.0,NE,1.0,NE,1.0,8.0,10.0,9.0,40.0,,
98,19360405.0,601.0,595.0,593.0,245.0,307.0,263.0,311.0,228.0,202.0,217.0,202.0,88.0,66.0,79.0,E,2.0,E,1.0,ENE,1.0,7.0,5.0,5.0,175.0,,
99,19360406.0,611.0,593.0,598.0,242.0,289.0,240.0,312.0,227.0,209.0,211.0,203.0,93.0,71.0,91.0,E,1.0,ENE,2.0,Calm,0.0,10.0,8.0,10.0,57.0,,
100,19360407.0,611.0,604.0,603.0,242.0,260.0,239.0,297.0,221.0,207.0,209.0,211.0,92.0,84.0,96.0,E,1.0,NE,2.0,ENE,1.0,8.0,9.0,10.0,202.0,,
101,19360408.0,609.0,605.0,603.0,239.0,264.0,254.0,285.0,224.0,211.0,227.0,206.0,96.0,89.0,85.0,ENE,1.0,Calm,0.0,ENE,1.0,8.0,10.0,6.0,247.0,,
102,19360409.0,621.0,611.0,603.0,264.0,288.0,259.0,300.0,224.0,235.0,222.0,226.0,92.0,75.0,91.0,E,1.0,ENE,1.0,NE,1.0,6.0,9.0,9.0,16.0,,
103,19360410.0,620.0,602.0,601.0,258.0,290.0,269.0,315.0,227.0,227.0,250.0,228.0,92.0,84.0,86.0,ESE,1.0,ENE,1.0,E,1.0,8.0,8.0,7.0,16.0,,
104,19360411.0,614.0,603.0,596.0,259.0,269.0,246.0,322.0,239.0,228.0,242.0,224.0,92.0,92.0,97.0,E,1.0,ESE,1.0,NNE,1.0,6.0,10.0,9.0,84.0,,
105,19360412.0,612.0,599.0,597.0,255.0,299.0,267.0,286.0,232.0,222.0,242.0,223.0,92.0,77.0,85.0,E,2.0,ENE,2.0,E,2.0,5.0,5.0,8.0,369.0,,
106,19360413.0,611.0,603.0,599.0,268.0,272.0,264.0,324.0,234.0,224.0,255.0,227.0,86.0,95.0,89.0,E,1.0,Calm,0.0,E,1.0,1.0,10.0,10.0,50.0,,
107,19360414.0,618.0,602.0,597.0,244.0,312.0,275.0,295.0,231.0,217.0,222.0,222.0,96.0,65.0,81.0,E,1.0,E,2.0,E,2.0,10.0,4.0,8.0,362.0,,
108,19360415.0,621.0,606.0,603.0,237.0,272.0,269.0,313.0,235.0,212.0,230.0,226.0,97.0,86.0,86.0,Calm,0.0,E,1.0,E,1.0,10.0,9.0,9.0,175.0,,
109,19360416.0,617.0,606.0,607.0,260.0,269.0,235.0,292.0,234.0,217.0,232.0,201.0,87.0,88.0,93.0,E,1.0,ENE,1.0,ENE,1.0,3.0,7.0,10.0,62.0,,
110,19360417.0,621.0,605.0,587.0,234.0,287.0,260.0,316.0,225.0,208.0,233.0,242.0,97.0,80.0,97.0,Calm,0.0,ENE,1.0,ENE,1.0,10.0,10.0,4.0,375.0,,
111,19360418.0,625.0,607.0,590.0,254.0,265.0,272.0,307.0,227.0,223.0,239.0,224.0,93.0,93.0,83.0,ENE,1.0,ENE,1.0,ENE,1.0,10.0,10.0,10.0,340.0,,
112,19360419.0,612.0,597.0,599.0,272.0,300.0,273.0,298.0,218.0,234.0,236.0,225.0,87.0,75.0,83.0,ENE,1.0,NNE,2.0,ENE,2.0,7.0,6.0,10.0,135.0,,
