,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 29_level_1
68,19500308.0,,,,144.0,135.0,123.0,253.0,310.0,276.0,313.0,236.0,212.0,217.0,204.0,88.0,65.0,74.0,E,0.0,NE,2.0,ENE,2.0,3.0,8.0,8.0,45.0,,
69,19500309.0,,,,136.0,126.0,110.0,250.0,306.0,272.0,310.0,242.0,216.0,203.0,198.0,92.0,62.0,73.0,NE,1.0,ENE,3.0,ENE,4.0,8.0,3.0,4.0,7.0,,
70,19500310.0,,,,138.0,134.0,108.0,247.0,289.0,265.0,314.0,235.0,216.0,218.0,206.0,93.0,73.0,80.0,E,0.0,NE,2.0,ENE,2.0,9.0,9.0,6.0,35.0,,
71,19500311.0,,,,143.0,143.0,132.0,258.0,316.0,277.0,307.0,237.0,209.0,193.0,197.0,85.0,55.0,71.0,E,1.0,NE,3.0,ENE,2.0,7.0,4.0,2.0,15.0,,
72,19500312.0,,,,154.0,144.0,136.0,261.0,294.0,263.0,319.0,236.0,207.0,210.0,206.0,82.0,68.0,81.0,ENE,2.0,ENE,4.0,NE,1.0,3.0,8.0,8.0,0.0,,
73,19500313.0,,,,155.0,144.0,135.0,250.0,297.0,259.0,304.0,232.0,208.0,204.0,212.0,88.0,66.0,85.0,ENE,1.0,NE,3.0,E,0.0,4.0,10.0,10.0,4.0,,
74,19500314.0,,,,150.0,138.0,131.0,236.0,292.0,266.0,316.0,227.0,207.0,204.0,212.0,96.0,67.0,82.0,E,0.0,ENE,3.0,NE,2.0,10.0,9.0,9.0,84.0,,
75,19500315.0,,,,142.0,131.0,124.0,245.0,282.0,251.0,295.0,234.0,213.0,228.0,215.0,93.0,80.0,91.0,E,0.0,ENE,2.0,NE,2.0,9.0,9.0,9.0,90.0,,
76,19500316.0,,,,148.0,146.0,128.0,250.0,297.0,266.0,285.0,237.0,212.0,200.0,194.0,90.0,64.0,75.0,E,1.0,ENE,2.0,ENE,4.0,9.0,9.0,4.0,109.0,,
77,19500317.0,,,,152.0,150.0,136.0,252.0,290.0,268.0,298.0,231.0,212.0,209.0,199.0,89.0,70.0,76.0,NE,1.0,ENE,2.0,ENE,2.0,4.0,9.0,4.0,0.0,,
78,19500318.0,,,,162.0,162.0,150.0,258.0,298.0,266.0,300.0,237.0,203.0,190.0,174.0,82.0,61.0,67.0,ENE,2.0,ENE,4.0,ENE,3.0,7.0,7.0,2.0,0.0,,
79,19500319.0,,,,170.0,168.0,163.0,240.0,304.0,267.0,301.0,221.0,186.0,158.0,182.0,84.0,49.0,70.0,E,1.0,NE,3.0,NE,2.0,5.0,2.0,1.0,6.0,,
80,19500320.0,,,,174.0,164.0,154.0,251.0,308.0,275.0,306.0,228.0,198.0,212.0,198.0,84.0,64.0,73.0,NE,2.0,NE,2.0,ENE,2.0,3.0,3.0,7.0,0.0,,
81,19500321.0,,,,166.0,166.0,147.0,259.0,297.0,266.0,315.0,243.0,206.0,206.0,185.0,83.0,66.0,72.0,NE,1.0,NE,3.0,NE,2.0,5.0,9.0,4.0,3.0,,
82,19500322.0,,,,171.0,171.0,151.0,252.0,303.0,270.0,299.0,233.0,184.0,177.0,179.0,77.0,55.0,68.0,NE,1.0,ENE,2.0,NE,1.0,3.0,8.0,4.0,7.0,,
83,19500323.0,,,,164.0,159.0,151.0,238.0,302.0,268.0,310.0,211.0,193.0,178.0,191.0,88.0,55.0,73.0,E,0.0,ENE,3.0,NE,3.0,2.0,3.0,2.0,0.0,,
84,19500324.0,,,,166.0,159.0,144.0,258.0,297.0,270.0,306.0,231.0,192.0,192.0,194.0,78.0,62.0,73.0,ENE,2.0,ENE,3.0,NE,3.0,1.0,8.0,3.0,0.0,,
85,19500325.0,,,,166.0,163.0,144.0,249.0,308.0,267.0,304.0,221.0,195.0,194.0,177.0,83.0,58.0,68.0,ENE,2.0,NE,3.0,NE,3.0,1.0,4.0,2.0,0.0,,
86,19500326.0,,,,136.0,131.0,124.0,255.0,316.0,270.0,315.0,224.0,186.0,185.0,182.0,77.0,53.0,69.0,ENE,3.0,NE,4.0,NE,2.0,2.0,3.0,4.0,0.0,,
87,19500327.0,,,,143.0,135.0,124.0,253.0,292.0,265.0,317.0,221.0,200.0,202.0,189.0,84.0,67.0,74.0,NE,1.0,NE,3.0,ENE,3.0,2.0,9.0,8.0,0.0,,
88,19500328.0,,,,142.0,140.0,142.0,256.0,308.0,268.0,315.0,237.0,193.0,204.0,187.0,73.0,61.0,72.0,ENE,2.0,NE,3.0,NE,2.0,2.0,3.0,6.0,0.0,,
89,19500329.0,,,,147.0,143.0,132.0,260.0,295.0,270.0,311.0,239.0,208.0,208.0,190.0,83.0,67.0,72.0,NE,1.0,NE,3.0,NE,3.0,9.0,9.0,4.0,0.0,,
90,19500330.0,,,,152.0,134.0,131.0,254.0,303.0,268.0,303.0,225.0,192.0,191.0,189.0,80.0,59.0,72.0,E,1.0,ENE,4.0,NE,3.0,1.0,5.0,3.0,0.0,,
91,19500331.0,,,,155.0,144.0,126.0,246.0,313.0,270.0,307.0,221.0,197.0,181.0,177.0,86.0,52.0,67.0,NE,1.0,NE,2.0,NE,1.0,1.0,1.0,1.0,1.0,,
