,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 27_level_1
86,19410326.0,614.0,606.0,600.0,269.0,310.0,273.0,308.0,226.0,212.0,217.0,209.0,80.0,65.0,,77.0,E,1.0,ENE,2.0,ENE,1.0,1.0,5.0,5.0,8.0,,
87,19410327.0,616.0,595.0,600.0,252.0,305.0,275.0,319.0,238.0,226.0,210.0,216.0,95.0,65.0,,80.0,ENE,1.0,ENE,2.0,ENE,1.0,10.0,9.0,6.0,21.0,,
88,19410328.0,617.0,604.0,600.0,265.0,312.0,274.0,332.0,236.0,228.0,224.0,219.0,89.0,66.0,,81.0,E,1.0,ENE,2.0,ENE,1.0,1.0,6.0,3.0,5.0,,
89,19410329.0,624.0,613.0,603.0,275.0,313.0,272.0,319.0,237.0,228.0,223.0,200.0,84.0,66.0,,74.0,ENE,1.0,ENE,2.0,ENE,1.0,8.0,8.0,1.0,0.0,,
90,19410330.0,626.0,613.0,603.0,272.0,314.0,273.0,320.0,236.0,228.0,214.0,207.0,85.0,63.0,,77.0,E,1.0,NNE,3.0,ENE,1.0,3.0,7.0,2.0,0.0,,
91,19410331.0,631.0,614.0,610.0,262.0,318.0,273.0,319.0,229.0,224.0,212.0,207.0,89.0,61.0,,77.0,ENE,1.0,ENE,2.0,ENE,1.0,9.0,4.0,2.0,0.0,,
92,,762.1354838709677,761.0451612903225,760.6225806451613,25.716129032258067,30.580645161290324,26.95483870967742,31.745161290322578,22.116129032258065,21.216129032258063,20.412903225806453,20.229032258064514,85.80645161290323,62.774193548387096,,76.54838709677419,,0.967741935483871,,1.6774193548387097,,0.9032258064516129,4.290322580645161,6.709677419354839,4.032258064516129,72.7,,
93,19410401.0,619.0,613.0,609.0,268.0,314.0,275.0,324.0,229.0,228.0,204.0,206.0,87.0,59.0,,76.0,ENE,1.0,ENE,1.0,ENE,1.0,7.0,5.0,1.0,0.0,,
94,19410402.0,622.0,613.0,608.0,262.0,299.0,261.0,321.0,232.0,226.0,219.0,221.0,90.0,70.0,,88.0,Calm,0.0,N,2.0,ENE,1.0,10.0,10.0,10.0,0.0,,
95,19410403.0,618.0,603.0,596.0,257.0,287.0,272.0,321.0,232.0,227.0,213.0,210.0,93.0,72.0,,78.0,E,1.0,NE,2.0,ENE,1.0,10.0,9.0,3.0,203.0,,
