,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
61,,762.2689655172414,761.4896551724138,761.4931034482759,25.00344827586207,23.448275862068964,1.5551724137931033,27.562068965517245,25.555172413793105,2.006896551724138,24.517241379310345,23.455172413793104,1.0620689655172415,28.568965517241377,21.837931034482757,20.52068965517241,23.141379310344828,20.83103448275862,87.34482758620689,84.41379310344827,91.10344827586206,,4.655172413793103,,5.310344827586207,,4.275862068965517,6.517241379310345,6.896551724137931,9.137931034482758,171.0,,
62,19040301.0,623.0,619.0,623.0,234.0,216.0,18.0,285.0,243.0,42.0,243.0,237.0,6.0,285.0,199.0,181.0,200.0,214.0,85.0,69.0,95.0,ESE,5.0,WNW,6.0,ESE,3.0,10.0,6.0,10.0,,,
63,19040302.0,625.0,619.0,614.0,240.0,227.0,13.0,243.0,234.0,9.0,236.0,231.0,5.0,292.0,191.0,197.0,209.0,207.0,89.0,92.0,96.0,ESE,3.0,ENE,5.0,,0.0,7.0,10.0,10.0,,,
64,19040303.0,617.0,613.0,610.0,245.0,233.0,12.0,292.0,243.0,49.0,258.0,247.0,11.0,293.0,193.0,205.0,196.0,225.0,90.0,65.0,91.0,ESE,4.0,ENE,6.0,E,5.0,3.0,2.0,10.0,32.0,,
65,19040304.0,616.0,614.0,606.0,241.0,234.0,7.0,244.0,233.0,11.0,236.0,229.0,7.0,298.0,235.0,210.0,206.0,203.0,95.0,91.0,94.0,NNE,3.0,E,5.0,ESE,4.0,9.0,10.0,10.0,128.0,,
66,19040305.0,612.0,602.0,605.0,242.0,221.0,21.0,282.0,260.0,22.0,256.0,244.0,12.0,299.0,197.0,184.0,236.0,220.0,82.0,83.0,90.0,N,4.0,NNE,3.0,N,5.0,9.0,7.0,10.0,55.0,,
67,19040306.0,615.0,606.0,600.0,228.0,223.0,5.0,268.0,254.0,14.0,252.0,242.0,10.0,311.0,168.0,197.0,232.0,218.0,90.0,89.0,91.0,,0.0,SW,3.0,ESE,4.0,9.0,8.0,10.0,,,
68,19040307.0,613.0,599.0,604.0,228.0,224.0,4.0,278.0,251.0,27.0,243.0,233.0,10.0,291.0,217.0,199.0,220.0,207.0,96.0,79.0,91.0,ENE,5.0,NNE,3.0,E,5.0,10.0,7.0,10.0,965.0,,
69,19040308.0,614.0,600.0,602.0,237.0,223.0,14.0,281.0,253.0,28.0,246.0,239.0,7.0,283.0,195.0,192.0,223.0,216.0,88.0,79.0,94.0,E,5.0,NE,6.0,ESE,4.0,9.0,7.0,10.0,,,
70,19040309.0,621.0,609.0,611.0,234.0,215.0,19.0,229.0,227.0,2.0,241.0,234.0,7.0,291.0,196.0,179.0,204.0,210.0,84.0,98.0,94.0,S,1.0,,0.0,ENE,4.0,7.0,10.0,10.0,,,
71,19040310.0,628.0,610.0,608.0,245.0,233.0,12.0,236.0,213.0,23.0,242.0,235.0,7.0,245.0,193.0,205.0,174.0,210.0,90.0,81.0,94.0,N,4.0,,0.0,ENE,4.0,10.0,10.0,10.0,70.0,,
72,19040311.0,615.0,602.0,602.0,242.0,234.0,8.0,250.0,243.0,7.0,251.0,240.0,11.0,252.0,211.0,209.0,222.0,215.0,93.0,94.0,91.0,E,3.0,NNE,3.0,ESE,3.0,10.0,8.0,10.0,538.0,,
73,19040312.0,628.0,615.0,602.0,232.0,227.0,5.0,259.0,239.0,20.0,249.0,241.0,8.0,272.0,187.0,202.0,208.0,218.0,96.0,84.0,93.0,N,4.0,NNE,5.0,ESE,3.0,9.0,8.0,10.0,160.0,,
74,19040313.0,616.0,602.0,598.0,228.0,224.0,4.0,272.0,257.0,15.0,236.0,227.0,9.0,283.0,192.0,199.0,236.0,200.0,96.0,88.0,92.0,N,5.0,NNE,3.0,E,4.0,7.0,9.0,10.0,10.0,,
75,19040314.0,609.0,597.0,602.0,255.0,239.0,16.0,286.0,260.0,26.0,251.0,240.0,11.0,329.0,215.0,211.0,234.0,215.0,87.0,80.0,91.0,N,6.0,NNE,6.0,N,5.0,7.0,5.0,10.0,25.0,,
76,19040315.0,618.0,606.0,601.0,272.0,247.0,25.0,293.0,269.0,24.0,255.0,244.0,11.0,295.0,224.0,216.0,249.0,220.0,80.0,82.0,91.0,E,6.0,NNE,5.0,ESE,4.0,7.0,6.0,10.0,5.0,,
77,19040316.0,627.0,614.0,616.0,242.0,224.0,18.0,264.0,241.0,23.0,230.0,225.0,5.0,296.0,212.0,190.0,209.0,200.0,85.0,82.0,96.0,,0.0,NE,6.0,NNE,4.0,10.0,9.0,10.0,15.0,,
78,19040317.0,623.0,604.0,609.0,262.0,242.0,20.0,290.0,269.0,21.0,256.0,247.0,9.0,268.0,230.0,212.0,250.0,226.0,84.0,84.0,93.0,NNE,5.0,NE,6.0,ESE,5.0,7.0,6.0,10.0,342.0,,
79,19040318.0,617.0,605.0,610.0,253.0,238.0,15.0,275.0,264.0,11.0,255.0,241.0,14.0,297.0,238.0,210.0,249.0,215.0,88.0,91.0,89.0,SSE,2.0,N,6.0,NNE,5.0,9.0,9.0,10.0,100.0,,
80,19040319.0,615.0,614.0,617.0,250.0,241.0,9.0,295.0,269.0,26.0,254.0,241.0,13.0,288.0,221.0,218.0,247.0,215.0,93.0,80.0,90.0,N,4.0,NE,6.0,E,5.0,8.0,5.0,10.0,,,
81,19040320.0,629.0,624.0,619.0,241.0,234.0,7.0,265.0,242.0,23.0,238.0,230.0,8.0,295.0,201.0,210.0,210.0,204.0,94.0,82.0,93.0,,0.0,SSE,5.0,SSE,2.0,10.0,10.0,10.0,20.0,,
82,19040321.0,620.0,617.0,602.0,234.0,227.0,7.0,287.0,263.0,24.0,251.0,241.0,10.0,275.0,195.0,201.0,239.0,217.0,94.0,82.0,92.0,,0.0,ESE,4.0,ESE,5.0,10.0,8.0,10.0,171.0,,
83,19040322.0,621.0,610.0,605.0,221.0,213.0,8.0,260.0,229.0,31.0,228.0,222.0,6.0,289.0,166.0,183.0,189.0,195.0,93.0,76.0,94.0,,0.0,ESE,4.0,NNE,5.0,10.0,8.0,10.0,425.0,,
84,19040323.0,620.0,608.0,609.0,236.0,227.0,9.0,257.0,231.0,26.0,243.0,235.0,8.0,261.0,189.0,200.0,194.0,210.0,92.0,79.0,93.0,,0.0,ESE,4.0,N,4.0,9.0,9.0,10.0,154.0,,
85,19040324.0,620.0,609.0,612.0,252.0,233.0,19.0,258.0,249.0,9.0,238.0,232.0,6.0,278.0,226.0,201.0,229.0,208.0,84.0,93.0,95.0,E,5.0,NNE,5.0,ESE,4.0,8.0,9.0,10.0,30.0,,
