,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
45,19550214.0,114.0,105.0,93.0,252.0,292.0,259.0,299.0,227.0,182.0,180.0,182.0,77.0,60.0,73.0,NE,2.0,ENE,3.0,NE,2.0,5.0,5.0,3.0,0.0,,
46,19550215.0,112.0,106.0,100.0,229.0,296.0,264.0,296.0,211.0,184.0,181.0,179.0,89.0,59.0,70.0,Calm,0.0,NE,4.0,NE,1.0,3.0,7.0,2.0,0.0,,
47,19550216.0,126.0,125.0,110.0,256.0,248.0,243.0,299.0,224.0,200.0,211.0,203.0,82.0,91.0,90.0,Calm,0.0,NE,1.0,NE,1.0,10.0,10.0,8.0,4.0,,
48,19550217.0,124.0,112.0,94.0,239.0,243.0,261.0,271.0,228.0,204.0,207.0,190.0,92.0,91.0,76.0,Calm,0.0,ENE,2.0,NE,2.0,10.0,10.0,9.0,149.0,,
49,19550218.0,118.0,104.0,89.0,255.0,293.0,263.0,274.0,241.0,203.0,195.0,198.0,84.0,64.0,78.0,NE,3.0,NE,3.0,NE,3.0,5.0,9.0,7.0,41.0,,
50,19550219.0,116.0,105.0,96.0,257.0,285.0,266.0,300.0,237.0,204.0,200.0,194.0,83.0,69.0,75.0,NE,2.0,NE,3.0,NE,2.0,8.0,9.0,9.0,1.0,,
51,19550220.0,112.0,94.0,89.0,243.0,262.0,251.0,291.0,228.0,201.0,214.0,217.0,89.0,85.0,92.0,SE,1.0,NE,2.0,Calm,0.0,8.0,10.0,10.0,19.0,,
52,19550221.0,117.0,90.0,69.0,226.0,265.0,250.0,268.0,224.0,188.0,220.0,212.0,92.0,85.0,90.0,Calm,0.0,Calm,0.0,Calm,0.0,10.0,9.0,9.0,614.0,,
53,19550222.0,101.0,90.0,72.0,241.0,293.0,254.0,272.0,226.0,217.0,219.0,223.0,97.0,72.0,93.0,Calm,0.0,N,1.0,Calm,0.0,9.0,10.0,9.0,95.0,,
54,19550223.0,108.0,92.0,77.0,252.0,297.0,264.0,299.0,239.0,216.0,217.0,213.0,91.0,69.0,83.0,Calm,0.0,NE,2.0,NE,2.0,9.0,9.0,5.0,12.0,,
