,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
102,32,19400126,17.0,759.7,0,25.3,0,—,7,—,7,77,0,18.5,0,22.2,0,45,0,0.3,0,3,0
103,32,19400126,24.0,—,7,—,7,26.5,0,28.5,0,—,7,—,7,—,7,—,7,—,7,—,7
104,32,19400127,7.0,760.7,0,27.3,0,—,7,—,7,66,0,17.9,0,22.4,0,65,0,0.3,0,2,0
105,32,19400127,12.0,760.7,0,27.9,0,—,7,—,7,63,0,17.9,0,22.6,0,45,0,0.4,0,4,0
106,32,19400127,17.0,760.7,0,27.5,0,—,7,—,7,64,0,17.8,0,22.4,0,45,0,0.4,0,3,0
107,32,19400127,24.0,—,7,—,7,28.3,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
108,32,19400128,7.0,760.2,0,25.7,0,—,7,—,7,75,0,18.7,0,22.4,0,45,0,0.3,0,2,0
109,32,19400128,12.0,760,0,28.3,0,—,7,—,7,61,0,17.7,0,22.6,0,45,0,0.4,0,3,0
110,32,19400128,17.0,759.5,0,28.1,0,—,7,—,7,61,0,17.5,0,22.4,0,45,0,0.4,0,3,0
111,32,19400128,24.0,—,7,—,7,26.3,0,29.4,0,—,7,—,7,—,7,—,7,—,7,—,7
112,32,19400129,7.0,760.2,0,25.5,0,—,7,—,7,78,0,19.1,0,22.6,0,65,0,0.3,0,2,0
113,32,19400129,12.0,760.2,0,28,0,—,7,—,7,67,0,18.9,0,23.2,0,65,0,0.4,0,3,0
114,32,19400129,17.0,758.5,0,27.3,0,—,7,—,7,68,0,18.4,0,22.7,0,45,0,0.4,0,3,0
115,32,19400129,24.0,—,7,—,7,26.5,0,29.4,0,—,7,—,7,—,7,—,7,—,7,—,7
116,32,19400130,7.0,761,0,27.1,0,—,7,—,7,69,0,18.7,0,22.8,0,65,0,0.2,0,2,0
117,32,19400130,12.0,761,0,28.9,0,—,7,—,7,63,0,18.8,0,23.4,0,65,0,0.3,0,3,0
118,32,19400130,17.0,760,0,26.9,0,—,7,—,7,69,0,18.4,0,22.6,0,65,0,0.4,0,2,0
119,32,19400130,24.0,—,7,—,7,27.8,0,30.6,0,—,7,—,7,—,7,—,7,—,7,—,7
120,32,19400131,7.0,760.2,0,27.4,0,—,7,—,7,75,0,20.7,0,24,0,65,0,0.3,0,1,0
121,32,19400131,12.0,759.7,0,28.9,0,—,7,—,7,70,0,21.1,0,24.6,0,65,0,0.3,0,2,0
122,32,19400131,17.0,759.5,0,28.1,0,—,7,—,7,71,0,20.3,0,24,0,65,0,0.4,0,2,0
123,32,19400131,24.0,—,7,—,7,28.3,0,30.6,0,—,7,—,7,—,7,—,7,—,7,—,7
124,32,19400201,7.0,759.2,0,26.7,0,—,7,—,7,79,0,20.8,0,23.9,0,45,0,0.2,0,2,0
125,32,19400201,12.0,759.5,0,26.9,0,—,7,—,7,79,0,20.9,0,24,0,45,0,0.3,0,3,0
