,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
65,19030305.0,614.0,606.0,602.0,257.0,247.0,10.0,254.0,243.0,11.0,253.0,242.0,11.0,274.0,240.0,225.0,219.0,218.0,92.0,91.0,91.0,NNE,5.0,NE,7.0,NNE,5.0,9.0,10.0,10.0,17.0,,
66,19030306.0,614.0,599.0,598.0,250.0,243.0,7.0,295.0,267.0,28.0,256.0,244.0,12.0,275.0,240.0,222.0,243.0,220.0,94.0,79.0,90.0,NE,2.0,NNE,7.0,NE,6.0,8.0,9.0,9.0,142.0,,
67,19030307.0,615.0,603.0,602.0,251.0,242.0,9.0,293.0,266.0,27.0,252.0,243.0,9.0,296.0,237.0,219.0,242.0,220.0,93.0,80.0,93.0,N,4.0,NE,6.0,NE,4.0,9.0,8.0,5.0,,,
68,19030308.0,614.0,599.0,601.0,250.0,237.0,13.0,290.0,264.0,26.0,257.0,242.0,15.0,294.0,235.0,210.0,240.0,215.0,89.0,80.0,88.0,NNE,4.0,NE,7.0,NE,6.0,8.0,8.0,6.0,,,
69,19030309.0,614.0,602.0,607.0,254.0,244.0,10.0,293.0,266.0,27.0,256.0,245.0,11.0,292.0,238.0,221.0,242.0,222.0,92.0,80.0,91.0,NE,6.0,NE,7.0,NNE,5.0,9.0,8.0,5.0,7.0,,
70,19030310.0,622.0,605.0,613.0,244.0,237.0,7.0,275.0,261.0,14.0,234.0,228.0,6.0,295.0,230.0,214.0,243.0,203.0,94.0,89.0,95.0,ENE,2.0,NE,6.0,NE,5.0,9.0,9.0,10.0,,,
71,19030311.0,618.0,611.0,604.0,234.0,229.0,5.0,259.0,238.0,21.0,241.0,232.0,9.0,292.0,223.0,205.0,206.0,206.0,96.0,83.0,92.0,S,3.0,E,5.0,NE,4.0,7.0,10.0,10.0,370.0,,
72,19030312.0,610.0,599.0,598.0,244.0,234.0,10.0,307.0,268.0,39.0,257.0,241.0,16.0,286.0,219.0,208.0,238.0,213.0,92.0,72.0,87.0,ESE,4.0,E,5.0,NE,4.0,6.0,7.0,5.0,20.0,,
73,19030313.0,610.0,596.0,596.0,258.0,244.0,14.0,308.0,269.0,39.0,254.0,242.0,12.0,307.0,236.0,219.0,239.0,217.0,89.0,72.0,90.0,ESE,6.0,NNE,2.0,NE,6.0,7.0,8.0,10.0,,,
74,19030314.0,619.0,619.0,615.0,244.0,241.0,3.0,234.0,231.0,3.0,237.0,232.0,5.0,309.0,232.0,219.0,208.0,208.0,97.0,97.0,96.0,S,2.0,NE,4.0,NNE,3.0,10.0,10.0,10.0,65.0,,
