,Stn,Datum,Tijd,P,qP
562,73,19430707,12.0,764,0
563,73,19430707,16.0,763,0
564,73,19430708,8.0,765,0
565,73,19430708,12.0,764,0
566,73,19430708,16.0,763,0
567,73,19430709,8.0,764,0
568,73,19430709,12.0,763,0
569,73,19430709,16.0,763,0
570,73,19430710,8.0,764,0
571,73,19430710,12.0,764,0
572,73,19430710,16.0,763,0
573,73,19430711,8.0,763,0
574,73,19430711,12.0,764,0
575,73,19430711,16.0,763,0
576,73,19430712,8.0,764,0
577,73,19430712,12.0,764,0
578,73,19430712,16.0,763,0
579,73,19430713,8.0,764,0
580,73,19430713,12.0,764,0
581,73,19430713,16.0,763,0
582,73,19430714,8.0,764,0
583,73,19430714,12.0,764,0
584,73,19430714,16.0,763,0
585,73,19430715,8.0,764,0
586,73,19430715,12.0,764,0
587,73,19430715,16.0,763,0
588,73,19430716,8.0,765,0
589,73,19430716,12.0,764,0
590,73,19430716,16.0,763,0
591,73,19430717,8.0,764,0
592,73,19430717,12.0,766,0
593,73,19430717,16.0,765,0
594,73,19430718,8.0,765,0
595,73,19430718,12.0,765,0
596,73,19430718,16.0,763,0
597,73,19430719,8.0,763,0
598,73,19430719,12.0,764,0
599,73,19430719,16.0,763,0
600,73,19430720,8.0,763,0
601,73,19430720,12.0,763,0
602,73,19430720,16.0,762,0
603,73,19430721,8.0,763,0
604,73,19430721,12.0,763,0
605,73,19430721,16.0,763,0
606,73,19430722,8.0,764,0
607,73,19430722,12.0,764,0
608,73,19430722,16.0,763,0
609,73,19430723,8.0,764,0
610,73,19430723,12.0,763,0
611,73,19430723,16.0,763,0
612,73,19430724,8.0,764,0
613,73,19430724,12.0,764,0
614,73,19430724,16.0,763,0
615,73,19430725,8.0,764,0
616,73,19430725,12.0,764,0
617,73,19430725,16.0,763,0
618,73,19430726,8.0,764,0
619,73,19430726,12.0,764,0
620,73,19430726,16.0,763,0
621,73,19430727,8.0,763,0
622,73,19430727,12.0,763,0
623,73,19430727,16.0,762,0
624,73,19430728,8.0,762,0
625,73,19430728,12.0,762,0
626,73,19430728,16.0,761,0
627,73,19430729,8.0,763,0
628,73,19430729,12.0,762,0
629,73,19430729,16.0,762,0
630,73,19430730,8.0,764,0
631,73,19430730,12.0,762,0
632,73,19430730,16.0,762,0
633,73,19430731,8.0,763,0
634,73,19430731,12.0,764,0
635,73,19430731,16.0,763,0
636,73,19430801,8.0,763,0
637,73,19430801,12.0,763,0
638,73,19430801,16.0,762,0
639,73,19430802,8.0,763,0
640,73,19430802,12.0,763,0
641,73,19430802,16.0,762,0
642,73,19430803,8.0,762,0
643,73,19430803,12.0,762,0
644,73,19430803,16.0,761,0
645,73,19430804,8.0,761,0
646,73,19430804,12.0,761,0
647,73,19430804,16.0,760,0
